Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2023-08-04 03:00 PM,2023,08,04,15,41.2,115,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 04:00 PM,2023,08,04,16,43.1,120,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 05:00 PM,2023,08,04,17,36.0,102,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 06:00 PM,2023,08,04,18,34.0,97,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 07:00 PM,2023,08,04,19,32.0,93,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 08:00 PM,2023,08,04,20,38.4,108,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 09:00 PM,2023,08,04,21,41.2,115,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 10:00 PM,2023,08,04,22,38.1,107,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-04 11:00 PM,2023,08,04,23,35.2,100,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 12:00 AM,2023,08,05,00,32.1,93,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 01:00 AM,2023,08,05,01,30.9,91,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 02:00 AM,2023,08,05,02,30.5,90,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 03:00 AM,2023,08,05,03,30.7,90,Moderate,31.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 04:00 AM,2023,08,05,04,32.8,95,Moderate,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 05:00 AM,2023,08,05,05,37.3,105,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 06:00 AM,2023,08,05,06,47.8,131,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 07:00 AM,2023,08,05,07,53.4,145,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 08:00 AM,2023,08,05,08,55.7,151,Unhealthy,58.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 09:00 AM,2023,08,05,09,54.8,149,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-05 10:00 AM,2023,08,05,10,58.9,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
